,state_name,date,confirmed
730,,2020-03-06,0
731,,2020-03-07,0
732,,2020-03-08,2
733,,2020-03-09,4
734,,2020-03-10,4
735,,2020-03-11,10
736,,2020-03-12,10
737,,2020-03-13,10
738,,2020-03-14,16
739,,2020-03-15,17
740,,2020-03-16,22
741,,2020-03-17,31
742,,2020-03-18,39
743,,2020-03-19,71
744,,2020-03-20,77
745,,2020-03-21,98
746,,2020-03-22,116
747,,2020-03-23,137
748,,2020-03-24,183
749,,2020-03-25,231
750,,2020-03-26,267
751,,2020-03-27,304
752,,2020-03-28,342
753,,2020-03-29,401
754,,2020-03-30,495
755,,2020-03-31,586
756,,2020-04-01,586
757,,2020-04-02,653
758,,2020-04-03,757
759,,2020-04-04,902
760,,2020-04-05,998
761,,2020-04-06,1097
762,,2020-04-07,1211
763,,2020-04-08,1440
764,,2020-04-09,1523
765,,2020-04-10,1660
766,,2020-04-11,1778
767,,2020-04-12,1875
768,,2020-04-13,1875
769,,2020-04-14,2058
770,,2020-04-15,2197
771,,2020-04-16,2350
772,,2020-04-17,2476
773,,2020-04-18,2666
774,,2020-04-19,2793
775,,2020-04-20,2927
776,,2020-04-21,3098
777,,2020-04-22,3206
778,,2020-04-23,3361
779,,2020-04-24,3528
780,,2020-04-25,3699
781,,2020-04-26,3841
782,,2020-04-27,3892
783,,2020-04-28,3994
784,Delaware,2020-01-22,0
785,Delaware,2020-01-23,0
786,Delaware,2020-01-24,0
787,Delaware,2020-01-25,0
788,Delaware,2020-01-26,0
789,Delaware,2020-01-27,0
790,Delaware,2020-01-28,0
791,Delaware,2020-01-29,0
792,Delaware,2020-01-30,0
793,Delaware,2020-01-31,0
794,Delaware,2020-02-01,0
795,Delaware,2020-02-02,0
796,Delaware,2020-02-03,0
797,Delaware,2020-02-04,0
798,Delaware,2020-02-05,0
799,Delaware,2020-02-06,0
800,Delaware,2020-02-07,0
801,Delaware,2020-02-08,0
802,Delaware,2020-02-09,0
803,Delaware,2020-02-10,0
804,Delaware,2020-02-11,0
805,Delaware,2020-02-12,0
806,Delaware,2020-02-13,0
807,Delaware,2020-02-14,0
808,Delaware,2020-02-15,0
809,Delaware,2020-02-16,0
810,Delaware,2020-02-17,0
811,Delaware,2020-02-18,0
812,Delaware,2020-02-19,0
813,Delaware,2020-02-20,0
814,Delaware,2020-02-21,0
815,Delaware,2020-02-22,0
816,Delaware,2020-02-23,0
817,Delaware,2020-02-24,0
818,Delaware,2020-02-25,0
819,Delaware,2020-02-26,0
820,Delaware,2020-02-27,0
821,Delaware,2020-02-28,0
822,Delaware,2020-02-29,0
823,Delaware,2020-03-01,0
824,Delaware,2020-03-02,0
825,Delaware,2020-03-03,0
826,Delaware,2020-03-04,0
827,Delaware,2020-03-05,0
828,Delaware,2020-03-06,0
829,Delaware,2020-03-07,0
830,Delaware,2020-03-08,0
831,Delaware,2020-03-09,0
832,Delaware,2020-03-10,0
833,Delaware,2020-03-11,0
834,Delaware,2020-03-12,4
835,Delaware,2020-03-13,4
836,Delaware,2020-03-14,6
837,Delaware,2020-03-15,7
838,Delaware,2020-03-16,8
839,Delaware,2020-03-17,17
840,Delaware,2020-03-18,26
841,Delaware,2020-03-19,30
842,Delaware,2020-03-20,39
843,Delaware,2020-03-21,45
844,Delaware,2020-03-22,56
845,Delaware,2020-03-23,87
846,Delaware,2020-03-24,104
847,Delaware,2020-03-25,119
848,Delaware,2020-03-26,119
849,Delaware,2020-03-27,165
850,Delaware,2020-03-28,214
851,Delaware,2020-03-29,232
852,Delaware,2020-03-30,264
853,Delaware,2020-03-31,319
854,Delaware,2020-04-01,368
855,Delaware,2020-04-02,393
856,Delaware,2020-04-03,450
857,Delaware,2020-04-04,593
858,Delaware,2020-04-05,673
859,Delaware,2020-04-06,783
860,Delaware,2020-04-07,928
861,Delaware,2020-04-08,1116
862,Delaware,2020-04-09,1209
863,Delaware,2020-04-10,1326
864,Delaware,2020-04-11,1479
865,Delaware,2020-04-12,1638
866,Delaware,2020-04-13,1761
867,Delaware,2020-04-14,1926
868,Delaware,2020-04-15,2014
869,Delaware,2020-04-16,2075
870,Delaware,2020-04-17,2323
871,Delaware,2020-04-18,2538
872,Delaware,2020-04-19,2538
873,Delaware,2020-04-20,2745
874,Delaware,2020-04-21,2931
875,Delaware,2020-04-22,3200
876,Delaware,2020-04-23,3308
877,Delaware,2020-04-24,3442
878,Delaware,2020-04-25,3576
879,Delaware,2020-04-26,4034
880,Delaware,2020-04-27,4162
881,Delaware,2020-04-28,4575
882,Florida,2020-01-22,0
883,Florida,2020-01-23,0
884,Florida,2020-01-24,0
885,Florida,2020-01-25,0
